,SBI Mutual Fund,Tata Mutual Fund ,UTI Mutual Fund ,Aditya Birla Sun Life Mutual Fund ,ICICI Prudential Mutual Fund
0,,,-0.0514045265857,,-0.0557669047842
1,,,-0.0243589015031,,-0.0193885878703
2,,,-0.187508680871,,-0.13192216391
3,,,0.067178177726,0.00106468778063,0.0991346640419
4,,,0.00880619932664,-0.0008999509568,0.0139571033897
5,,,0.235366678661,0.191712595091,0.254531655479
6,,,0.0927590774294,-0.0301798741507,0.127863927492
7,,,0.109665321554,0.103565619068,0.108010806936
8,-0.041974096317,,0.0841866974056,0.135068494978,0.096072391058
9,-0.0624983723069,,-0.0586486588244,-0.0363606562356,-0.0594638267853
10,-0.00584102562552,,-0.0616375340991,0.0184924916001,0.0283487627748
11,-0.0233322224599,0.000295162005706,-0.0660878898991,-0.034263885821,-0.0500421019669
12,-0.0707039839965,-0.0459483685839,-0.116523508048,-0.0577827921773,-0.112371734899
13,0.133926418967,0.113456611201,0.131766715991,0.139006214925,0.128104716863
14,0.161665999317,0.161329053612,0.111324404077,0.186118891135,0.207425954284
15,-0.0123900918001,-0.0143796273913,-0.0518627856156,-0.031676312593,0.0103626102439
16,0.0352622149136,0.0665158888034,0.0506533468342,0.0614514896767,0.04666139041
17,0.126787229135,0.150045987588,0.12479672938,0.133753221083,0.108294299627
18,0.0845870706296,0.0986675023846,0.0817119069888,0.0973676310007,0.0783371212963
19,0.0193592528558,0.00278060734427,0.0262584771966,0.0274525818736,0.0217280184799
