,Reliance Mutual Fund,SBI Mutual Fund,Tata Mutual Fund ,UTI Mutual Fund 
0,-0.0499721323822,-0.0161702655878,,-0.031135568875
1,0.0499711100267,0.068363787104,,0.068121897351
2,0.0283362680035,0.0527591919695,,0.0519444029101
3,0.0760134629639,0.0885705996981,,0.0704417792477
4,0.0701939535052,0.0855385055728,,0.0693602568996
5,-0.00362458076087,0.0298313563552,,0.0233108741603
6,0.179649153189,0.210158564312,,0.184990337707
7,0.135864159535,0.128894739404,,0.109193945056
8,0.0122435981625,0.100239052868,,0.089278113032
9,-0.00552968339152,0.095838476218,,0.0495597164146
10,0.0814453301483,0.0573267888192,,0.032549871389
11,0.0366616750409,0.0265037158229,-0.000332288506974,-0.0178618544846
12,-0.113828770986,-0.0763722843488,-0.024064098957,-0.0763576418947
13,-0.0995965696283,-0.0108005168148,-0.0400059358404,-0.0229935483811
14,0.0716282328684,0.0552006338135,0.0402254681256,0.0698784724512
15,0.00123221212444,-0.0339913661761,-0.0525596977054,-0.0349694537668
16,-0.0764951235931,-0.0230621004922,-0.0299808151712,-0.02829111608
17,-0.104984506448,-0.0435250035069,0.0125927360707,-0.0306545944524
18,-0.00913698820915,-0.034583066359,-0.0555762254837,-0.0249168175538
19,0.0637808860544,0.0285811690697,0.025783182271,0.032831556835
