,SBI Mutual Fund,ICICI Prudential Mutual Fund 
0,-0.0188406921476,-0.0268350644868
1,0.0668784608291,0.0667309966793
2,0.0264282855359,0.028757309175
3,0.00149517568016,0.00840233672274
4,0.0108620069707,0.0154455391329
5,0.0661245947951,0.0555070015156
6,0.0930448718602,0.0744964952846
7,0.0917653041545,0.100197057154
8,0.0632909770452,0.0838917799301
9,-0.0937450466505,-0.0135571480736
10,-0.0863059764108,0.0130626321023
11,0.0252839679917,0.0101930348824
12,-0.0436032012021,-0.0530029779881
13,0.0636974052105,0.0645753841148
14,0.107885866674,0.0993998610528
15,-0.0557972442548,-0.0576320924436
16,0.057905124133,-0.00106357809279
17,0.122128679661,0.10271089406
18,0.049669167728,0.0537754489834
19,0.0951446752258,0.0360062000737
