,SBI Mutual Fund,Tata Mutual Fund ,Aditya Birla Sun Life Mutual Fund ,ICICI Prudential Mutual Fund
0,0.120611827468,,0.0851290515082,0.0411978436207
1,-0.0571033321336,,-0.0505813467914,-0.119664366242
2,0.165600787663,,0.160024923747,0.141603171447
3,0.141819266087,,0.0843817422276,0.218607633672
4,0.100214828024,,0.0780878209838,0.0894966837804
5,-0.0388027164681,,-0.0253220989013,-0.0754876647397
6,0.146833583293,,0.115134375737,0.147772666736
7,0.101766514781,,0.00235132912194,0.0858921146152
8,0.0858838173598,,0.0750034577036,0.0438160414115
9,-0.0664847331075,,-0.0471183420734,-0.117148468013
10,-0.147888582057,,-0.0397213376833,0.0408191103938
11,0.0108097563398,-0.00104435959707,-0.00360212335578,0.00683949806481
12,-0.0346197740305,-0.000460480161968,-0.0426847068463,-0.0579713629272
13,0.0356095165693,0.0309182055265,0.060624811848,0.00813329164588
14,-0.00118635717332,-0.0610402230472,-0.0826012343096,-0.0483960583612
15,-0.0449862574643,-0.0596813738193,-0.059744945542,-0.0325531084194
16,0.0201228132432,0.0219887975225,0.0328960065737,-0.00215281627929
17,-0.0169237503892,-0.00541040045189,0.00275094981602,-0.0536425845441
18,0.0139794649662,0.0332671102305,-0.00588576147719,0.0116100981274
19,0.0641287618466,0.0777186004172,0.0684803333754,0.0773953956409
