id,scheme,Aum-Domestic,Aum-Foreign,Timeline Quarter
102134,ICICI Prudential Advisor Series Long Term Saving Plan - Dividend,0,381.79,April - June 2012
102133,ICICI Prudential Advisor Series Long Term Saving Plan - Growth,0,318.21,April - June 2012
104686,ICICI Prudential Balanced Advantage Fund - Dividend,6044.09,0,April - June 2012
104685,ICICI Prudential Balanced Advantage Fund - Growth,9593.85,0,April - June 2012
100356,ICICI Prudential Balanced Fund - Growth,19436.76,0,April - June 2012
100355,ICICI Prudential Balanced Fund - Monthly Dividend,13973.80,0,April - June 2012
109446,ICICI Prudential Banking and Financial Services Fund -  Dividend,3418.06,0,April - June 2012
109445,ICICI Prudential Banking and Financial Services Fund -  Growth,10975.96,0,April - June 2012
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend,9269.40,0,April - June 2012
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly Dividend,7770.28,0,April - June 2012
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,13847.71,0,April - June 2012
113245,ICICI Prudential Banking and PSU Debt Fund Premium Daily Dividend,168.59,0,April - June 2012
113246,ICICI Prudential Banking and PSU Debt Fund Premium Weekly Dividend,157.96,0,April - June 2012
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,122.92,0,April - June 2012
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,194.48,0,April - June 2012
116171,ICICI Prudential Banking and PSU Debt Fund Retail Quarterly Dividend,36.92,0,April - June 2012
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,171.58,0,April - June 2012
103028,ICICI Prudential Blended Plan A -  Dividend,2166.36,0,April - June 2012
103027,ICICI Prudential Blended Plan A - Growth,953.06,0,April - June 2012
103062,ICICI Prudential Blended Plan B -  Dividend Option - I,1226.05,0,April - June 2012
103061,ICICI Prudential Blended Plan B -  Growth Option - I,562.10,0,April - June 2012
114376,ICICI Prudential Blended Plan B -  Monthly Dividend Option - I,17.25,0,April - June 2012
114238,ICICI Prudential Blended Plan B - Daily Dividend Option - I,9268.66,0,April - June 2012
114237,ICICI Prudential Blended Plan B Institutional Daily Dividend Option - II,26478.58,0,April - June 2012
103064,ICICI Prudential Blended Plan B Institutional Dividend Option - II,172.83,0,April - June 2012
103063,ICICI Prudential Blended Plan B Institutional Growth Option - II,11366.87,0,April - June 2012
