id,scheme,Aum-Domestic,Aum-Foreign,Timeline Quarter
108410,R * Shares Banking ETF -Dividend Payout Option,1099.62,0,April - June 2012
107015,R * Shares Gold ETF -Dividend Payout Option,277808.72,0,April - June 2012
113346,Reliance Arbitrage Advantage Fund - Dividend Plan,40.88,0,April - June 2012
113345,Reliance Arbitrage Advantage Fund - Growth Plan - Growth Option,114.60,0,April - June 2012
101864,Reliance Banking Fund-Dividend Plan-Dividend Option,63272.58,0,April - June 2012
101863,Reliance Banking Fund-Growth Plan-Bonus Option,327.61,0,April - June 2012
101862,Reliance Banking Fund-Growth Plan-Growth Option,103548.39,0,April - June 2012
101264,Reliance Diversified Power Sector Fund-Dividend Plan,74366.61,0,April - June 2012
101262,Reliance Diversified Power Sector Fund-Growth Plan -Growth Option,145403.47,0,April - June 2012
101263,Reliance Diversified Power Sector Fund-Growth Plan-Bonus Option,1033.98,0,April - June 2012
102851,Reliance Dynamic Bond Fund-Dividend Plan,13303.56,0,April - June 2012
102849,Reliance Dynamic Bond Fund-Growth Plan-Growth Option,45620.02,0,April - June 2012
106252,Reliance Equity Opportunities  Fund Institutional Dividend Plan,928.56,0,April - June 2012
106253,Reliance Equity Opportunities  Fund Institutional Plan Growth Plan Growth Option,572.67,0,April - June 2012
101163,Reliance Equity Opportunities  Fund-Dividend Plan,123382.37,0,April - June 2012
101162,Reliance Equity Opportunities  Fund-Growth Plan-Bonus Option,685.67,0,April - June 2012
101161,Reliance Equity Opportunities  Fund-Growth Plan-Growth Option,221742.42,0,April - June 2012
102676,Reliance Floating Rate Fund - Short Term Plan - Daily Dividend Reinvestment Option,7000.45,0,April - June 2012
102673,Reliance Floating Rate Fund - Short Term Plan - Growth Plan-Growth Option,8434.33,0,April - June 2012
102675,Reliance Floating Rate Fund - Short Term Plan - Monthly Dividend Plan,2319.79,0,April - June 2012
112942,Reliance Floating Rate Fund - Short Term Plan - Quarterly Dividend Plan,32.45,0,April - June 2012
102677,Reliance Floating Rate Fund - Short Term Plan - Weekly Dividend Plan,4081.77,0,April - June 2012
103749,Reliance Focused Large Cap Fund-Dividend Plan,42322.34,0,April - June 2012
103748,Reliance Focused Large Cap Fund-Growth Plan-Bonus Option,319.29,0,April - June 2012
103747,Reliance Focused Large Cap Fund-Growth Plan-Growth Option,63041.56,0,April - June 2012
109725,Reliance Gilt Securities Fund - Institutional Plan-Dividend Option,77.51,0,April - June 2012
109717,Reliance Gilt Securities Fund - Institutional Plan-Growth Plan -Growth Option,431.46,0,April - June 2012
109720,Reliance Gilt Securities Fund -Growth Plan - Growth Option,6916.35,0,April - June 2012
109723,Reliance Gilt Securities Fund -Monthly Dividend Plan,791.00,0,April - June 2012
109716,Reliance Gilt Securities Fund -P F Option-Automatic Annual Reinvest Option,3.67,0,April - June 2012
109721,Reliance Gilt Securities Fund -P F Option-Defined Maturity Date Option,1.14,0,April - June 2012
109718,Reliance Gilt Securities Fund-Institutional Plan-P F Option-Automatic Capital Appreciation Payout Option,634.04,0,April - June 2012
109724,Reliance Gilt Securities Fund-P F Option-Automatic Capital Appreciation Payout Option,186.51,0,April - June 2012
114617,Reliance Gold Savings Fund-Dividend Plan,0,44265.60,April - June 2012
114616,Reliance Gold Savings Fund-Growth plan- Growth Option,0,175075.49,April - June 2012
106260,Reliance Growth Fund Institutional Plan Dividend Plan,2155.09,0,April - June 2012
106258,Reliance Growth Fund Institutional Plan Growth Plan Growth Option,5177.15,0,April - June 2012
100375,Reliance Growth Fund-Dividend Plan-(D),192188.17,0,April - June 2012
100376,Reliance Growth Fund-Growth Plan-Bonus Option,3283.69,0,April - June 2012
100377,Reliance Growth Fund-Growth Plan-Growth Option,352929.25,0,April - June 2012
100386,Reliance Income Fund - Annual Dividend Plan,2335.40,0,April - June 2012
100388,Reliance Income Fund - Growth Plan Bonus Option,96.49,0,April - June 2012
100387,Reliance Income Fund - Growth Plan Growth Option,34233.35,0,April - June 2012
100385,Reliance Income Fund - Half Yearly Dividend Plan,234.70,0,April - June 2012
100383,Reliance Income Fund - Monthly Dividend Plan,4400.75,0,April - June 2012
100384,Reliance Income Fund - Quarterly Dividend Plan,5285.76,0,April - June 2012
113297,Reliance Index Fund - Nifty Plan - Growth Plan - Bonus Option,13.10,0,April - June 2012
113296,Reliance Index Fund - Nifty Plan - Growth Plan - Growth Option,4697.13,0,April - June 2012
113298,Reliance Index Fund - Nifty Plan - Quarterly Dividend Plan,1530.77,0,April - June 2012
113300,Reliance Index Fund - Nifty Plan- Annual Dividend Plan,239.55,0,April - June 2012
113299,Reliance Index Fund - Nifty Plan- Half Yearly Dividend Plan,92.74,0,April - June 2012
113295,Reliance Index Fund - Sensex Plan - Annual Dividend Plan,37.79,0,April - June 2012
113270,Reliance Index Fund - Sensex Plan - Growth Plan - Bonus Option,3.14,0,April - June 2012
113269,Reliance Index Fund - Sensex Plan - Growth Plan - Growth Option,198.55,0,April - June 2012
113294,Reliance Index Fund - Sensex Plan - Half Yearly Dividend Plan,7.39,0,April - June 2012
113271,Reliance Index Fund - Sensex Plan - Quarterly Dividend Plan,25.98,0,April - June 2012
111944,Reliance Infrastructure Fund -Bonus Option,218.48,0,April - June 2012
111945,Reliance Infrastructure Fund -Dividend Option,20748.04,0,April - June 2012
111943,Reliance Infrastructure Fund -Growth Option,42334.96,0,April - June 2012
111946,Reliance Infrastructure Fund- Institutional Plan-Growth Option,862.45,0,April - June 2012
105660,Reliance Interval Fund Annual Interval Fund Series-I -Dividend Option,966.74,0,April - June 2012
105663,Reliance Interval Fund Annual Interval Fund Series-I- Growth Option,23151.35,0,April - June 2012
105661,Reliance Interval Fund Annual Interval Fund Series-I-Retail Plan Growth Option,3733.49,0,April - June 2012
105662,Reliance Interval Fund Annual Interval Fund Series-I-Retail Plan-Dividend Option,102.71,0,April - June 2012
