id,scheme,Aum-Domestic,Aum-Foreign,Timeline Quarter
101222,Tata Balanced Fund Regular Plan - Dividend Option,8284.58,0,April - June 2012
100414,Tata Balanced Fund Regular Plan - Growth,16871.82,0,April - June 2012
113134,Tata Balanced Fund Regular Plan- Monthly Dividend Option,7783.48,0,April - June 2012
103337,Tata Contra Fund Plan A -  Dividend,4434.16,0,April - June 2012
103336,Tata Contra Fund Plan A -  Growth,4474.17,0,April - June 2012
106130,Tata Corporate Bond Fund -Regular Plan  -  Daily Dividend,3139.93,0,April - June 2012
106129,Tata Corporate Bond Fund -Regular Plan -  Growth,621.22,0,April - June 2012
106132,Tata Corporate Bond Fund -Regular Plan -  Monthly Dividend,234.52,0,April - June 2012
116516,Tata Corporate Bond Fund Retail Investment Plan Daily Dividend Option,760.13,0,April - June 2012
106128,Tata Corporate Bond Fund Retail Investment Plan Growth,2287.93,0,April - June 2012
106123,Tata Corporate Bond Fund Retail Investment Plan Monthly Dividend,1965.14,0,April - June 2012
106133,Tata Corporate Bond Fund Super High Investment Plan Daily Dividend,14933.04,0,April - June 2012
106131,Tata Corporate Bond Fund-Regular Plan - Weekly Dividend,579.40,0,April - June 2012
102858,Tata Dividend Yield Fund  Regular Plan -( Div),17280.67,0,April - June 2012
102859,Tata Dividend Yield Fund Regular Plan,12623.89,0,April - June 2012
102031,Tata Dynamic Bond Fund B - Dividend,7.18,0,April - June 2012
101910,Tata Dynamic Bond Fund B - Growth,28.06,0,April - June 2012
101224,Tata Dynamic Bond Fund Regular Plan - Dividend,35.26,0,April - June 2012
101909,Tata Dynamic Bond Fund Regular Plan - Growth,88.78,0,April - June 2012
103761,Tata Equity Management Fund Plan A - Growth,7489.29,0,April - June 2012
103760,Tata Equity Management Fund Plan A- Div,5167.27,0,April - June 2012
101823,Tata Equity Opportunities Fund Regular Plan - Dividend,18749.20,0,April - June 2012
101824,Tata Equity Opportunities Fund Regular Plan - Growth,9133.33,0,April - June 2012
112218,Tata Equity P/E Fund Regular Plan (Dividend Trigger Option A - 5%),9528.08,0,April - June 2012
102428,Tata Equity P/E Fund Regular Plan (Dividend Trigger Option B - 10%),15791.09,0,April - June 2012
101672,Tata Equity P/E Fund Regular Plan -(Growth Option),34915.61,0,April - June 2012
100415,Tata Ethical Fund Regular Plan  - Growth,6396.54,0,April - June 2012
101833,Tata Ethical Fund Regular Plan - Dividend,4064.64,0,April - June 2012
107126,Tata Fixed Income Portfolio Fund - Scheme A2 - Regular Plan - Growth,127.80,0,April - June 2012
107125,Tata Fixed Income Portfolio Fund - Scheme A2 - Regular Plan - Monthly Dividend,710.07,0,April - June 2012
