id,scheme,Aum-Domestic,Aum-Foreign,Timeline Quarter
100033,Aditya Birla Sun Life Advantage Fund - Regular Growth,5623.71,0,April - June 2012
100034,Aditya Birla Sun Life Advantage Fund -Regular Dividend,23011.78,0,April - June 2012
102184,Aditya Birla Sun Life Asset Allocation Fund-Aggressive Plan-Dividend Plan,0,737.72,April - June 2012
102185,Aditya Birla Sun Life Asset Allocation Fund-Aggressive Plan-Growth Plan,0,471.40,April - June 2012
102188,Aditya Birla Sun Life Asset Allocation Fund-Conservative Plan-Dividend Plan,0,235.48,April - June 2012
102189,Aditya Birla Sun Life Asset Allocation Fund-Conservative Plan-Growth Plan,0,354.18,April - June 2012
102186,Aditya Birla Sun Life Asset Allocation Fund-Moderate Plan-Dividend Plan,0,416.34,April - June 2012
102187,Aditya Birla Sun Life Asset Allocation Fund-Moderate Plan-Growth Plan,0,263.86,April - June 2012
103154,Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Dividend,23312.09,0,April - June 2012
103155,Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Growth,28595.81,0,April - June 2012
103188,Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Regular Plan,25473.51,0,April - June 2012
103187,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,5122.87,0,April - June 2012
103169,Aditya Birla Sun Life Buy India Fund - Dividend - Regular Plan,2213.60,0,April - June 2012
103170,Aditya Birla Sun Life Buy India Fund - Growth - Regular Plan,1220.27,0,April - June 2012
113307,Aditya Birla Sun Life Cash Manager - Daily Dividend - Regular Plan,43940.87,0,April - June 2012
103192,Aditya Birla Sun Life Cash Manager - Growth Plan,28565.99,0,April - June 2012
103191,Aditya Birla Sun Life Cash Manager - Institutional Plan - Daily Dividend,195209.20,0,April - June 2012
103195,Aditya Birla Sun Life Cash Manager - Institutional Plan - Growth,149101.76,0,April - June 2012
103194,Aditya Birla Sun Life Cash Manager - Institutional Plan - Weekly Dividend,17567.46,0,April - June 2012
103193,Aditya Birla Sun Life Cash Manager - Weekly Dividend - Regular Plan,18947.21,0,April - June 2012
100046,Aditya Birla Sun Life Cash Plus - Daily Dividend,271892.90,0,April - June 2012
100047,Aditya Birla Sun Life Cash Plus - Growth,893058.67,0,April - June 2012
100041,Aditya Birla Sun Life Cash Plus - Institutional Dividend,20821.85,0,April - June 2012
100051,Aditya Birla Sun Life Cash Plus - Weekly Dividend,14135.70,0,April - June 2012
100043,Aditya Birla Sun Life Cash Plus-Institutional (Growth),13471.31,0,April - June 2012
100048,Aditya Birla Sun Life Cash Plus-Institutional -  Weekly Dividend,1263.77,0,April - June 2012
100044,Aditya Birla Sun Life Cash Plus-Retail (Dividend),9532.51,0,April - June 2012
100042,Aditya Birla Sun Life Cash Plus-Retail (Growth),9989.97,0,April - June 2012
111348,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Dividend - Regular Plan,476.79,0,April - June 2012
111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,804.74,0,April - June 2012
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,7209.67,0,April - June 2012
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,1002.04,0,April - June 2012
101737,Aditya Birla Sun Life Dividend Yield Plus - Dividend - Regular Plan,61045.41,0,April - June 2012
101738,Aditya Birla Sun Life Dividend Yield Plus - Growth - Regular Plan,61362.14,0,April - June 2012
102767,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Regular Plan,496163.80,0,April - June 2012
111521,Aditya Birla Sun Life Dynamic Bond Fund - Monthly Dividend - Regular Plan,270396.27,0,April - June 2012
102766,Aditya Birla Sun Life Dynamic Bond Fund - Quarterly Dividend - Regular Plan,99281.76,0,April - June 2012
111848,Aditya Birla Sun Life Dynamic Bond Fund-Discipline Advantage Plan-Growth,11.14,0,April - June 2012
112087,Aditya BIRLA SUN LIFE ENHANCED ARBITRAGE FUND - REGULAR PLAN - DIVIDEND,66.58,0,April - June 2012
112088,Aditya BIRLA SUN LIFE ENHANCED ARBITRAGE FUND - REGULAR PLAN - GROWTH,30.50,0,April - June 2012
103165,Aditya Birla Sun Life Equity Fund - Dividend - Regular Plan,29143.25,0,April - June 2012
103166,Aditya Birla Sun Life Equity Fund - Growth - Regular Plan,42733.40,0,April - June 2012
101973,Aditya Birla Sun Life Floating Rate - Short Term - Daily Dividend,279863.08,0,April - June 2012
101976,Aditya Birla Sun Life Floating Rate - Short Term - Growth,304487.97,0,April - June 2012
101972,Aditya Birla Sun Life Floating Rate - Short Term - Retail Daily Dividend,3871.69,0,April - June 2012
101971,Aditya Birla Sun Life Floating Rate - Short Term - Retail Growth,5447.69,0,April - June 2012
101970,Aditya Birla Sun Life Floating Rate - Short Term - Retail Weekly Dividend,2009.78,0,April - June 2012
101974,Aditya Birla Sun Life Floating Rate - Short Term - Weekly Dividend,488.35,0,April - June 2012
103173,Aditya Birla Sun Life Frontline Equity Fund-Dividend,89253.64,0,April - June 2012
103174,Aditya Birla Sun Life Frontline Equity Fund-Growth,187932.18,0,April - June 2012
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,10.69,0,April - June 2012
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,1271.23,0,April - June 2012
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,148.55,0,April - June 2012
100058,Aditya Birla Sun Life Gilt Plus - PF Plan - Growth - Regular Plan,1748.56,0,April - June 2012
100057,Aditya Birla Sun Life Gilt Plus - PF Plan - Quarterly Dividend - Regular Plan,576.74,0,April - June 2012
115127,Aditya Birla Sun Life Gold ETF,9533.55,0,April - June 2012
