id,scheme,Aum-Domestic,Aum-Foreign,Timeline Quarter
100684,UTI - Balanced Fund-Growth,33992.97,0,April - June 2012
100685,UTI - Balanced Fund-Income,56476.36,0,April - June 2012
100648,UTI - CRTS 81 - Dividend Option,31035.87,0,April - June 2012
104588,UTI - CRTS 81 - Growth Option,3708.07,0,April - June 2012
100669,UTI - Equity Fund-Growth Option,6568.94,0,April - June 2012
100668,UTI - Equity Fund-Income Option,190747.53,0,April - June 2012
112083,UTI - FLOATING RATE STP - INSTN GROWTH OPTION,38940.41,0,April - June 2012
112082,UTI - FLOATING RATE STP - INSTN PLAN - PERIODIC DIVIDEND OPTION,15249.27,0,April - June 2012
112106,UTI - FLOATING RATE STP -INSTN PLAN - FLEXI Dividend OPTION,1170.30,0,April - June 2012
109501,UTI - FLOATING RATE STP-DAILY DIVIDEND,2723.31,0,April - June 2012
102531,UTI - FLOATING RATE STP-DIVIDEND,1825.19,0,April - June 2012
102532,UTI - FLOATING RATE STP-GROWTH,9960.44,0,April - June 2012
100812,UTI - G-Sec Fund-Growth,17275.33,0,April - June 2012
100811,UTI - G-Sec Fund-Income,2272.39,0,April - June 2012
100814,UTI - G-Sec Fund-STP Growth,1902.40,0,April - June 2012
100813,UTI - G-Sec Fund-STP Periodic Div Option,124.95,0,April - June 2012
102511,UTI - GILT ADVANTAGE-LONG TERM PF-DIVIDEND,315.70,0,April - June 2012
102512,UTI - GILT ADVANTAGE-LONG TERM PF-GROWTH,4882.80,0,April - June 2012
102514,UTI - GILT ADVANTAGE-LONG TERM PF-PRESCRIBED DATE AUTO REDEMPTION,2.61,0,April - June 2012
102509,UTI - GILT ADVANTAGE-LONG TERM-DIVIDEND,896.37,0,April - June 2012
102510,UTI - GILT ADVANTAGE-LONG TERM-GROWTH,6946.90,0,April - June 2012
100820,UTI - Long Term Equity Fund (Tax Saving) - Regular Plan - Dividend Option,33071.11,0,April - June 2012
100821,UTI - Long Term Equity Fund (Tax Saving) - Regular Plan - Growth Option,12231.63,0,April - June 2012
100656,UTI - Master Plus Unit Scheme-Growth Option,725.43,0,April - June 2012
100657,UTI - Master Plus Unit Scheme-Income Option,80527.25,0,April - June 2012
100651,UTI - Master Share-Growth Option,18482.18,0,April - June 2012
100650,UTI - Master Share-Income Option,207663.77,0,April - June 2012
100751,UTI - Master Value Fund-Growth Option,20059.82,0,April - June 2012
100750,UTI - Master Value Fund-Income Option,43960.57,0,April - June 2012
102534,UTI - MIS-ADVANTAGE-FLEXI DIVIDEND,1064.43,0,April - June 2012
102535,UTI - MIS-ADVANTAGE-GROWTH,43692.06,0,April - June 2012
102536,UTI - MIS-ADVANTAGE-MONTHLY DIVIDEND,24220.83,0,April - June 2012
102533,UTI - MIS-ADVANTAGE-MONTHLY PAYMENT,329.44,0,April - June 2012
101608,UTI - MIS-Growth,23284.48,0,April - June 2012
101607,UTI - MIS-Income,14663.38,0,April - June 2012
100740,UTI - MNC Fund (UGS 10000)-Growth Option,3866.21,0,April - June 2012
100739,UTI - MNC Fund (UGS 10000)-Income Option,19827.85,0,April - June 2012
100822,UTI - NIFTY Index Fund-Growth Option,12321.75,0,April - June 2012
100823,UTI - NIFTY Index Fund-Income Option,4114.49,0,April - June 2012
100682,UTI - Retirement Benefit Pension Fund,82664.73,0,April - June 2012
106383,UTI - Short Term Income Fund - Dividend Option,10756.21,0,April - June 2012
106384,UTI - Short Term Income Fund - Growth Option,21509.09,0,April - June 2012
106624,UTI - Short Term Income Fund -Institutional Growth Option,13010.91,0,April - June 2012
106980,UTI - Short Term Income Fund -Quarterly Div Option,9518.77,0,April - June 2012
100664,UTI - TOP 100 Fund- Growth Option,10348.66,0,April - June 2012
100663,UTI - TOP 100 Fund-Income Option,49971.39,0,April - June 2012
105658,UTI - Treasury Advantage  Fund - Institutional Monthly Dividend Option,3690.39,0,April - June 2012
105659,UTI - Treasury Advantage Fund  - Flexi Dividend Plan,9635.61,0,April - June 2012
102541,UTI - Treasury Advantage Fund -  Quarterly Dividend Option,364.75,0,April - June 2012
102538,UTI - Treasury Advantage Fund - Annaul Dividend Option,220.57,0,April - June 2012
102539,UTI - Treasury Advantage Fund - Bonus Option,70.42,0,April - June 2012
102540,UTI - Treasury Advantage Fund - Growth Option,31457.96,0,April - June 2012
102545,UTI - Treasury Advantage Fund - Institutional-Bonus Option,31019.51,0,April - June 2012
105605,UTI - Treasury Advantage Fund - Institutional-Daily Dividend,204016.37,0,April - June 2012
102544,UTI - Treasury Advantage Fund - Institutional-Growth,395898.85,0,April - June 2012
105627,UTI - Treasury Advantage Fund - Institutional-weekly Dividend,15813.03,0,April - June 2012
105670,UTI - Treasury Advantage Fund - Retail Monthly Dividend Option,3269.84,0,April - June 2012
105578,UTI - Treasury Advantage Fund-  Periodic Dividend Plan,40757.62,0,April - June 2012
100646,UTI - Unit Linked Insurance Plan,230872.93,0,April - June 2012
111602,UTI - Wealth Builder Fund - Dividend Option,30818.03,0,April - June 2012
111599,UTI - Wealth Builder Fund - Growth Option,26582.29,0,April - June 2012
102401,UTI Banking Sector Fund-Growth Option,16426.71,0,April - June 2012
102402,UTI Banking Sector Fund-Income Option,19402.05,0,April - June 2012
