id,scheme,Aum-Domestic,Aum-Foreign,Timeline Quarter
102504,SBI  SAVINGS FUND - REGULAR PLAN - DIVIDEND,867.68,0,April - June 2012
102503,SBI  SAVINGS FUND - REGULAR PLAN - GROWTH,10990.06,0,April - June 2012
102860,SBI  SAVINGS FUND - REGULAR PLAN - WEEKLY  DIVIDEND,404.57,0,April - June 2012
104458,SBI Arbitrage Opportunities Fund - Regular Plan - Div,2333.06,0,April - June 2012
104457,SBI Arbitrage Opportunities Fund - Regular Plan - Gr,4276.40,0,April - June 2012
103616,SBI BLUE CHIP FUND- REGULAR PLAN - DIVIDEND,29125.17,0,April - June 2012
103504,SBI BLUE CHIP FUND-REGULAR PLAN GROWTH,39510.60,0,April - June 2012
102414,SBI CONTRA - REGULAR PLAN -GROWTH,169123.77,0,April - June 2012
100915,SBI CONTRA-REGULAR PLAN -DIVIDEND,97155.68,0,April - June 2012
102506,SBI CORPORATE BOND FUND - REGULAR PLAN - DIVIDEND,238.28,0,April - June 2012
102505,SBI CORPORATE BOND FUND - REGULAR PLAN - GROWTH,400.50,0,April - June 2012
102206,SBI Dynamic Bond Fund - REGULAR PLAN - Dividend  (Previously Magnum NRI - LTP Upto 22/11/09),32973.67,0,April - June 2012
102205,SBI Dynamic Bond Fund - REGULAR PLAN - Growth (Previously Magnum NRI - LTP Upto 22/11/09),92666.50,0,April - June 2012
102765,SBI EMERGING BUSINESSES FUND - REGULAR  PLAN - DIVIDEND,24854.97,0,April - June 2012
102756,SBI EMERGING BUSINESSES FUND - REGULAR PLAN -GROWTH,33994.67,0,April - June 2012
100645,SBI FMCG FUND - REGULAR PLAN - DIVIDEND,8361.25,0,April - June 2012
115677,SBI GOLD FUND - REGULAR PLAN - DIVIDEND,0,9597.99,April - June 2012
115676,SBI GOLD FUND REGULAR PLAN - GROWTH,0,60680.92,April - June 2012
106095,SBI INFRASTRUCTURE FUND - REGULAR PLAN - DIVIDEND (6/7/2007),20377.35,0,April - June 2012
106096,SBI INFRASTRUCTURE FUND - SERIES I - REGULAR PLAN - GROWTH (6/7/2007),44603.09,0,April - June 2012
100643,SBI IT FUND - REGULAR PLAN - DIVIDEND,4095.78,0,April - June 2012
101551,SBI Magnum Balanced Fund - REGULAR PLAN - Dividend,17852.59,0,April - June 2012
102885,SBI Magnum Balanced Fund - REGULAR PLAN -Growth,18634.50,0,April - June 2012
101169,SBI Magnum Children Benefit Plan- REGULAR PLAN -Holding Held for <= 1 Year,2380.33,0,April - June 2012
103146,SBI Magnum COMMA Fund - REGULAR PLAN - Dividend,18426.41,0,April - June 2012
103145,SBI Magnum COMMA Fund - REGULAR PLAN - Growth,20573.06,0,April - June 2012
101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29715.40,0,April - June 2012
104523,SBI Magnum Equity Fund- REGULAR PLAN - Growth,21046.50,0,April - June 2012
