,SBI Mutual Fund,Tata Mutual Fund ,UTI Mutual Fund ,Aditya Birla Sun Life Mutual Fund ,ICICI Prudential Mutual Fund
0,-0.0268350644868,-0.0268350644868,-0.0268350644868,-0.0268350644868,-0.0268350644868
1,0.0667309966793,0.0667309966793,0.0667309966793,0.0667309966793,0.0667309966793
2,0.028757309175,0.028757309175,0.028757309175,0.028757309175,0.028757309175
3,0.00840233672274,0.00840233672274,0.00840233672274,0.00840233672274,0.00840233672274
4,0.0154455391329,0.0154455391329,0.0154455391329,0.0154455391329,0.0154455391329
5,0.0555070015156,0.0555070015156,0.0555070015156,0.0555070015156,0.0555070015156
6,0.0744964952846,0.0744964952846,0.0744964952846,0.0744964952846,0.0744964952846
7,0.100197057154,0.100197057154,0.100197057154,0.100197057154,0.100197057154
8,0.0838917799301,0.0838917799301,0.0838917799301,0.0838917799301,0.0838917799301
9,-0.0135571480736,-0.0135571480736,-0.0135571480736,-0.0135571480736,-0.0135571480736
10,0.0130626321023,0.0130626321023,0.0130626321023,0.0130626321023,0.0130626321023
11,0.0101930348824,0.0101930348824,0.0101930348824,0.0101930348824,0.0101930348824
12,-0.0530029779881,-0.0530029779881,-0.0530029779881,-0.0530029779881,-0.0530029779881
13,0.0645753841148,0.0645753841148,0.0645753841148,0.0645753841148,0.0645753841148
14,0.0993998610528,0.0993998610528,0.0993998610528,0.0993998610528,0.0993998610528
15,-0.0576320924436,-0.0576320924436,-0.0576320924436,-0.0576320924436,-0.0576320924436
16,-0.00106357809279,-0.00106357809279,-0.00106357809279,-0.00106357809279,-0.00106357809279
17,0.10271089406,0.10271089406,0.10271089406,0.10271089406,0.10271089406
18,0.0537754489834,0.0537754489834,0.0537754489834,0.0537754489834,0.0537754489834
19,0.0360062000737,0.0360062000737,0.0360062000737,0.0360062000737,0.0360062000737
