Timeline Quarter,AUM
2012-04,8857.66
2013-04,6803.03
2014-04,5408.81
2015-04,4175.72
2016-04,3577.94
2017-04,4977.15
2012-01,8943.3
2013-01,7487.57
2014-01,5687.77
2015-01,4460.33
2016-01,3438.71
2017-01,4954.02
2012-07,8697.97
2013-07,6412.74
2014-07,5017.63
2015-07,3860.96
2016-07,3630.75
2017-07,4971.11
2012-10,8093.14
2013-10,6199.11
2014-10,4667.16
2015-10,3598.93
2016-10,3354.7
2017-10,4959.07
