Timeline Quarter,AUM
2012-04,778645.12
2013-04,823451.72
2014-04,882036.42
2015-04,1170889.74
2016-04,1078581.2
2017-04,1295876.95
2012-01,771521.74
2013-01,857085.06
2014-01,764570.09
2015-01,1203406.64
2016-01,999354.92
2017-01,1197095.58
2012-07,815271.53
2013-07,752071.45
2014-07,1092277.71
2015-07,1154833.05
2016-07,1164636.83
2017-07,1348797.3
2012-10,857044.09
2013-10,774077.69
2014-10,1157197.45
2015-10,1109165.7
2016-10,1138836.16
2017-10,1401328.55
