Timeline Quarter,AUM
2012-01,32407.24
2012-04,35178.75
2012-07,41789.73
2012-10,45754.83
2013-01,48974.17
2013-04,49647.76
2013-07,48912.94
2013-10,53936.34
2014-01,59656.06
2014-04,75137.9
2014-07,94584.97
2014-10,117297.48
2015-01,144661.01
2015-04,168553.96
2015-07,196830.66
2015-10,231483.72
2016-01,232176.9
2016-04,260822.74
2016-07,288684.6
2016-10,273986.91
2017-01,280389.11
2017-04,291387.94
2017-07,284700.85
2017-10,283618.97
