Timeline Quarter,AUM
2012-04,205835.28
2013-04,245707.33
2014-04,435420.93
2015-04,868442.55
2016-04,1139722.4
2017-04,1800583.58
2012-01,210902.18
2013-01,233741.04
2014-01,329669.59
2015-01,806541.08
2016-01,996528.99
2017-01,1580659.38
2012-07,213657.38
2013-07,254332.73
2014-07,564958.06
2015-07,940332.0
2016-07,1330400.77
2017-07,2005054.25
2012-10,222741.59
2013-10,285835.39
2014-10,669806.16
2015-10,996847.66
2016-10,1411620.04
2017-10,2185610.38
