Timeline Quarter,AUM
2012-04,35456.9
2013-04,41272.53
2014-04,43392.81
2015-04,58201.28
2016-04,71807.85
2017-04,79479.5
2012-01,36218.63
2013-01,38190.81
2014-01,40170.63
2015-01,59608.92
2016-01,68582.03
2017-01,79185.06
2012-07,36778.08
2013-07,40125.6
2014-07,47597.69
2015-07,59781.4
2016-07,77993.98
2017-07,85908.14
2012-10,37960.93
2013-10,40333.01
2014-10,51851.21
2015-10,59467.77
2016-10,76673.33
2017-10,93814.6
