Timeline Quarter,AUM
2012-01,257401.89
2012-04,266142.53
2012-07,288798.46
2012-10,313822.32
2013-01,332776.02
2013-04,340928.69
2013-07,350985.15
2013-10,380777.05
2014-01,408425.23
2014-04,496667.04
2014-07,606828.89
2014-10,694360.86
2015-01,788690.57
2015-04,822313.87
2015-07,877488.71
2015-10,914158.91
2016-01,895572.51
2016-04,996028.33
2016-07,1106981.02
2016-10,1115163.29
2017-01,1218050.52
2017-04,1350594.21
2017-07,1487887.12
2017-10,1645809.17
