Timeline Quarter,AUM
2012-01,24809.69
2012-04,25166.28
2012-07,26912.06
2012-10,27997.25
2013-01,25981.73
2013-04,26686.51
2013-07,26909.41
2013-10,27463.62
2014-01,29583.18
2014-04,28757.97
2014-07,32904.49
2014-10,37818.79
2015-01,38104.43
2015-04,37276.58
2015-07,40370.79
2015-10,42065.34
2016-01,38442.27
2016-04,35752.96
2016-07,38380.82
2016-10,38226.98
2017-01,34679.51
2017-04,30394.12
2017-07,33782.56
2017-10,37606.36
