Timeline Quarter,AUM
2012-04,5659.35
2013-04,3866.32
2014-04,2171.98
2015-04,1362.73
2016-04,1133.28
2017-04,967.18
2012-01,5350.93
2013-01,4411.96
2014-01,2479.49
2015-01,1499.5
2016-01,1113.74
2017-01,948.87
2012-07,4804.39
2013-07,3032.53
2014-07,1786.76
2015-07,1243.98
2016-07,1130.37
2017-07,938.25
2012-10,4924.26
2013-10,2815.77
2014-10,1607.41
2015-10,1175.13
2016-10,993.71
2017-10,959.43
