Timeline Quarter,AUM
2012-04,148359.15
2013-04,139442.13
2014-04,156687.96
2015-04,191249.17
2016-04,190705.09
2017-04,197646.08
2012-01,149878.35
2013-01,145574.91
2014-01,138198.62
2015-01,199726.28
2016-01,177483.3
2017-01,204586.58
2012-07,148847.24
2013-07,136399.42
2014-07,181625.79
2015-07,196551.33
2016-07,205912.07
2017-07,202572.03
2012-10,149728.32
2013-10,141404.57
2014-10,199122.96
2015-10,196457.03
2016-10,201180.95
2017-10,212812.2
