Timeline Quarter,AUM
2012-04,15105.37
2013-04,14737.83
2014-04,20438.47
2015-04,49233.34
2016-04,50933.63
2017-04,58434.21
2012-01,15666.85
2013-01,15223.72
2014-01,15958.92
2015-01,45228.75
2016-01,48606.63
2017-01,53084.19
2012-07,14713.38
2013-07,14396.26
2014-07,27245.09
2015-07,72201.55
2016-07,74234.58
2017-07,65370.45
2012-10,15148.75
2013-10,15548.57
2014-10,35844.37
2015-10,53999.4
2016-10,54306.57
2017-10,72062.76
