,Quarter,Sharpe,ID
10,2015Q3,-0.139801788673,130496
11,2015Q4,-0.260438944737,130496
12,2016Q1,-0.538576626875,130496
13,2016Q2,0.285187565543,130496
14,2016Q3,0.357319762967,130496
15,2016Q4,-0.178992143966,130496
16,2017Q1,0.157440564451,130496
17,2017Q2,0.36232601738,130496
18,2017Q3,0.112194259658,130496
19,2017Q4,0.118832227976,130496
0,2013Q1,0.0,140453
1,2013Q2,0.0,140453
2,2013Q3,0.0,140453
3,2013Q4,0.0,140453
4,2014Q1,0.0,140453
5,2014Q2,0.0,140453
6,2014Q3,0.0,140453
7,2014Q4,0.0,140453
8,2015Q1,0.0,140453
9,2015Q2,0.0,140453
10,2015Q3,0.0,140453
11,2015Q4,0.0,140453
12,2016Q1,0.0,140453
13,2016Q2,0.0,140453
14,2016Q3,0.0,140453
15,2016Q4,0.0,140453
16,2017Q1,0.151053765857,140453
17,2017Q2,0.234919882641,140453
18,2017Q3,0.137123599534,140453
19,2017Q4,0.156481722798,140453
0,2013Q1,0.0,130497
1,2013Q2,0.0,130497
2,2013Q3,0.0,130497
3,2013Q4,0.0,130497
4,2014Q1,0.0,130497
5,2014Q2,-0.00808587372883,130497
6,2014Q3,0.0428801587105,130497
7,2014Q4,0.156505474998,130497
8,2015Q1,-0.0567924139741,130497
9,2015Q2,-0.509650532818,130497
10,2015Q3,-0.139827835398,130497
11,2015Q4,-0.260438684392,130497
12,2016Q1,-0.765030439909,130497
13,2016Q2,0.0208743528031,130497
14,2016Q3,0.357312234432,130497
15,2016Q4,-0.178989842719,130497
16,2017Q1,-0.0424517872238,130497
17,2017Q2,0.01044653172,130497
18,2017Q3,0.112204882253,130497
19,2017Q4,0.118834015626,130497
0,2013Q1,-4.16927016129,103308
1,2013Q2,-3.02470885472,103308
2,2013Q3,-4.68106917664,103308
3,2013Q4,4.37896361978,103308
4,2014Q1,-0.923685551544,103308
5,2014Q2,6.32486320504,103308
6,2014Q3,2.84597647306,103308
7,2014Q4,2.92735758245,103308
8,2015Q1,1.09841478079,103308
9,2015Q2,-2.51159213398,103308
10,2015Q3,-4.61779231455,103308
11,2015Q4,-3.48219418346,103308
12,2016Q1,-3.85196028425,103308
13,2016Q2,2.57613916016,103308
14,2016Q3,1.21358438876,103308
15,2016Q4,-2.61624489325,103308
16,2017Q1,1.71139263409,103308
17,2017Q2,2.87044767029,103308
18,2017Q3,-1.27405178277,103308
19,2017Q4,-0.700833479306,103308
0,2013Q1,-0.21963329224,120587
1,2013Q2,0.274334785596,120587
2,2013Q3,0.0734691463186,120587
3,2013Q4,-0.035233852031,120587
4,2014Q1,0.00260787357444,120587
5,2014Q2,0.2144291754,120587
6,2014Q3,0.317113702865,120587
7,2014Q4,0.453964590948,120587
8,2015Q1,0.363115660167,120587
9,2015Q2,-0.151014687247,120587
10,2015Q3,-0.0102870178368,120587
11,2015Q4,-0.0255393565209,120587
12,2016Q1,-0.360281659493,120587
13,2016Q2,0.262845999614,120587
14,2016Q3,0.449691179032,120587
15,2016Q4,-0.387060862668,120587
16,2017Q1,0.199708700361,120587
17,2017Q2,0.471246919445,120587
18,2017Q3,0.206588429714,120587
19,2017Q4,0.110698764089,120587
0,2013Q1,-0.219242904131,120588
1,2013Q2,0.274133204048,120588
2,2013Q3,0.0733022847417,120588
3,2013Q4,-0.035153952421,120588
4,2014Q1,0.0023479952291,120588
5,2014Q2,0.214654942387,120588
6,2014Q3,0.317011777739,120588
7,2014Q4,0.453950613686,120588
8,2015Q1,0.363060298519,120588
9,2015Q2,-0.151330208239,120588
10,2015Q3,-0.0103227667182,120588
11,2015Q4,-0.025612677691,120588
12,2016Q1,-0.360361783791,120588
13,2016Q2,0.262710169176,120588
14,2016Q3,0.44970295923,120588
15,2016Q4,-0.387001429855,120588
16,2017Q1,-0.0846552007159,120588
17,2017Q2,0.464798089383,120588
18,2017Q3,0.206605010195,120588
19,2017Q4,0.110702862914,120588
0,2013Q1,0.0,135797
1,2013Q2,0.0,135797
2,2013Q3,0.0,135797
3,2013Q4,0.0,135797
4,2014Q1,0.0,135797
5,2014Q2,0.0,135797
6,2014Q3,0.0,135797
7,2014Q4,0.0,135797
8,2015Q1,0.0,135797
9,2015Q2,0.0,135797
10,2015Q3,0.0,135797
11,2015Q4,-0.0105074969889,135797
12,2016Q1,-0.0557647723672,135797
13,2016Q2,0.0574157528344,135797
14,2016Q3,-0.27577415054,135797
15,2016Q4,-0.2708460286,135797
16,2017Q1,0.0250691710076,135797
17,2017Q2,-0.0736187571924,135797
18,2017Q3,0.066249106128,135797
19,2017Q4,0.224974799192,135797
0,2013Q1,0.0,133858
1,2013Q2,0.0,133858
2,2013Q3,0.0,133858
3,2013Q4,0.0,133858
4,2014Q1,0.0,133858
5,2014Q2,0.0,133858
6,2014Q3,0.0,133858
7,2014Q4,0.0,133858
8,2015Q1,-0.224339751884,133858
9,2015Q2,-0.560313797405,133858
10,2015Q3,-0.151456956484,133858
11,2015Q4,-0.278611987888,133858
12,2016Q1,-0.619518229119,133858
13,2016Q2,0.859637993298,133858
14,2016Q3,1.06595770015,133858
15,2016Q4,-0.199063368385,133858
16,2017Q1,0.145414434277,133858
