,Quarter,NAV,ID
0,2013Q1,0.0,135793
1,2013Q2,0.0,135793
2,2013Q3,0.0,135793
3,2013Q4,0.0,135793
4,2014Q1,0.0,135793
5,2014Q2,0.0,135793
6,2014Q3,0.0,135793
7,2014Q4,0.0,135793
8,2015Q1,0.0,135793
9,2015Q2,0.0,135793
10,2015Q3,0.0,135793
11,2015Q4,0.000358155236401,135793
12,2016Q1,-0.0435160873024,135793
13,2016Q2,0.117844491424,135793
14,2016Q3,0.16590152177,135793
15,2016Q4,-0.010045465679,135793
16,2017Q1,0.0706701143315,135793
17,2017Q2,0.154462969528,135793
18,2017Q3,0.102892200288,135793
19,2017Q4,0.00666467298733,135793
0,2013Q1,0.0,135800
1,2013Q2,0.0,135800
2,2013Q3,0.0,135800
3,2013Q4,0.0,135800
4,2014Q1,0.0,135800
5,2014Q2,0.0,135800
6,2014Q3,0.0,135800
7,2014Q4,0.0,135800
8,2015Q1,0.0,135800
9,2015Q2,0.0,135800
10,2015Q3,0.0,135800
11,2015Q4,-0.00100095818348,135800
12,2016Q1,0.00175655265221,135800
13,2016Q2,0.0351314619983,135800
14,2016Q3,-0.0570217175895,135800
15,2016Q4,-0.0554343463528,135800
16,2017Q1,0.0262217709602,135800
17,2017Q2,-0.000730628792913,135800
18,2017Q3,0.0377191831665,135800
19,2017Q4,0.0822235880877,135800
0,2013Q1,-0.0263129322179,100664
1,2013Q2,-0.00415924241399,100664
2,2013Q3,-0.0113656902969,100664
3,2013Q4,0.0597090894547,100664
4,2014Q1,0.0356262576707,100664
5,2014Q2,0.115715606309,100664
6,2014Q3,0.126587254555,100664
7,2014Q4,0.0745612515436,100664
8,2015Q1,0.0864720006794,100664
9,2015Q2,-0.0150622643529,100664
10,2015Q3,0.00698899868486,100664
11,2015Q4,-0.0341141656422,100664
12,2016Q1,-0.080839771765,100664
13,2016Q2,0.0708335472716,100664
14,2016Q3,0.0901593616774,100664
15,2016Q4,-0.0270258927928,100664
16,2017Q1,0.0437053886177,100664
17,2017Q2,0.0928561009506,100664
18,2017Q3,0.0405399024252,100664
19,2017Q4,0.0517603904615,100664
0,2013Q1,-0.0511836858422,102401
